stable_id,native_type,has_book_event,native_components,qualification,native_reason,run_id
b95f423b7d50df54b9782c7637b8c2c5,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
c05ed900a2db2a7468e5c258cb9bb4d2,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
c1cda1304277da7499d1bd9615aadfac,Location,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
c2d4723800cfe9f4496c665b2ae91e41,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
c5001801e37b7aa438450067cf82551a,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
cbbe0370448922f4aa2b770a6f338178,Location,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
d0ff53ce96edd2a4e906a74111ee30a7,Location,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
d57fcb9f61aeb744ca05ffa55f4edeb4,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
d74a76989dd65024c94ad0f080a69c4c,Location,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
da62d5f93bad3c4448dfd676c564c2ff,Location,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
e3edf8b6987b34444972aae5bfa9d2fe,Location,false,Kingmaker.Designers.EventConditionActionSystem.Events.SummonPoolTrigger;Kingmaker.Designers.EventConditionActionSystem.Events.SummonPoolTrigger;Kingmaker.Designers.EventConditionActionSystem.Events.ActivateTrigger;Kingmaker.Designers.EventConditionActionSystem.Events.DeactivateTrigger;Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
e779c63ea50fdb54489185c967d75d5a,Landmark,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
f6d199e44642f4e43a4bbad758affead,HiddenLocation,true,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
f83de5c382e087b4ab6ce0b7397a2a13,HiddenLocation,false,,contextual-arrival-and-deferred-invariants-pass,Eligible,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
f9a1c1474e4026a4fae7c434f1081ab4,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
fbee1e9b1066cad4194befa2befee23f,HiddenLocation,false,Kingmaker.Globalmap.Blueprints.LocationRestriction,no-action-native-prohibition-pass,CampaignProhibition,20260908T1330037600506Z-cc0ea3d5a53a4123a156a651546ca8c3
